Committee,Subcommittee,Name,Title
House Permanent Select Committee on Intelligence,,Devin Nunes,Chair
House Permanent Select Committee on Intelligence,,K. Michael Conaway,
House Permanent Select Committee on Intelligence,,Peter T. King,
House Permanent Select Committee on Intelligence,,Frank A. LoBiondo,
House Permanent Select Committee on Intelligence,,Thomas J. Rooney,
House Permanent Select Committee on Intelligence,,Ileana Ros-Lehtinen,
House Permanent Select Committee on Intelligence,,Michael R. Turner,
House Permanent Select Committee on Intelligence,,Brad R. Wenstrup,
House Permanent Select Committee on Intelligence,,Chris Stewart,
House Permanent Select Committee on Intelligence,,"Eric A. ""Rick"" Crawford",
House Permanent Select Committee on Intelligence,,Trey Gowdy,
House Permanent Select Committee on Intelligence,,Elise M. Stefanik,
House Permanent Select Committee on Intelligence,,Will Hurd,
House Permanent Select Committee on Intelligence,,Adam B. Schiff,Ranking Member
House Permanent Select Committee on Intelligence,,James A. Himes,
House Permanent Select Committee on Intelligence,,Terri A. Sewell,
House Permanent Select Committee on Intelligence,,Andre Carson,
House Permanent Select Committee on Intelligence,,Jackie Speier,
House Permanent Select Committee on Intelligence,,Mike Quigley,
House Permanent Select Committee on Intelligence,,Eric Swalwell,
House Permanent Select Committee on Intelligence,,Joaquin Castro,
House Permanent Select Committee on Intelligence,,Denny Heck,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Frank A. LoBiondo,Chair
House Permanent Select Committee on Intelligence,Central Intelligence Agency,K. Michael Conaway,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Peter T. King,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Thomas J. Rooney,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Ileana Ros-Lehtinen,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Chris Stewart,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Eric Swalwell,Ranking Member
House Permanent Select Committee on Intelligence,Central Intelligence Agency,James A. Himes,
House Permanent Select Committee on Intelligence,Central Intelligence Agency,Joaquin Castro,
