Committee,Subcommittee,Name,Title
United States Senate Caucus on International Narcotics Control,,Chuck Grassley,Chairman
United States Senate Caucus on International Narcotics Control,,John Cornyn,
United States Senate Caucus on International Narcotics Control,,James E. Risch,
United States Senate Caucus on International Narcotics Control,,Dianne Feinstein,
United States Senate Caucus on International Narcotics Control,,Sheldon Whitehouse,
United States Senate Caucus on International Narcotics Control,,Heidi Heitkamp,
Senate Select Committee on Ethics,,Johnny Isakson,Chairman
Senate Select Committee on Ethics,,Pat Roberts,
Senate Select Committee on Ethics,,James E. Risch,
Senate Select Committee on Ethics,,Christopher A. Coons,Vice Chairman
Senate Select Committee on Ethics,,Brian Schatz,
Senate Select Committee on Ethics,,Jeanne Shaheen,
Senate Committee on Indian Affairs,,John Hoeven,Chairman
Senate Committee on Indian Affairs,,John Barrasso,
Senate Committee on Indian Affairs,,Lisa Murkowski,
Senate Committee on Indian Affairs,,James Lankford,
Senate Committee on Indian Affairs,,Steve Daines,
Senate Committee on Indian Affairs,,Mike Crapo,
Senate Committee on Indian Affairs,,Jerry Moran,
Senate Committee on Indian Affairs,,Tom Udall,Vice Chairman
Senate Committee on Indian Affairs,,Maria Cantwell,
Senate Committee on Indian Affairs,,Jon Tester,
Senate Committee on Indian Affairs,,Brian Schatz,
Senate Committee on Indian Affairs,,Heidi Heitkamp,
Senate Committee on Indian Affairs,,Catherine Cortez Masto,
Senate Committee on Indian Affairs,,Tina Smith,
Senate Select Committee on Intelligence,,Richard Burr,Chairman
Senate Select Committee on Intelligence,,James E. Risch,
Senate Select Committee on Intelligence,,Marco Rubio,
Senate Select Committee on Intelligence,,Susan M. Collins,
Senate Select Committee on Intelligence,,Roy Blunt,
Senate Select Committee on Intelligence,,James Lankford,
Senate Select Committee on Intelligence,,Tom Cotton,
Senate Select Committee on Intelligence,,John Cornyn,
Senate Select Committee on Intelligence,,Mitch McConnell,Ex Officio
Senate Select Committee on Intelligence,,James M. Inhofe,Ex Officio
Senate Select Committee on Intelligence,,Mark R. Warner,Vice Chairman
Senate Select Committee on Intelligence,,Dianne Feinstein,
Senate Select Committee on Intelligence,,Ron Wyden,
Senate Select Committee on Intelligence,,Martin Heinrich,
Senate Select Committee on Intelligence,,Angus S. King Jr.,
Senate Select Committee on Intelligence,,Joe Manchin III,
Senate Select Committee on Intelligence,,Kamala D. Harris,
Senate Select Committee on Intelligence,,Charles E. Schumer,Ex Officio
Senate Select Committee on Intelligence,,Jack Reed,Ex Officio
Senate Special Committee on Aging,,Susan M. Collins,Chairman
Senate Special Committee on Aging,,Orrin G. Hatch,
Senate Special Committee on Aging,,Jeff Flake,
Senate Special Committee on Aging,,Tim Scott,
Senate Special Committee on Aging,,Thom Tillis,
Senate Special Committee on Aging,,Bob Corker,
Senate Special Committee on Aging,,Richard Burr,
Senate Special Committee on Aging,,Marco Rubio,
Senate Special Committee on Aging,,Deb Fischer,
Senate Special Committee on Aging,,Robert P. Casey Jr.,Ranking Member
Senate Special Committee on Aging,,Bill Nelson,
Senate Special Committee on Aging,,Kirsten E. Gillibrand,
Senate Special Committee on Aging,,Richard Blumenthal,
Senate Special Committee on Aging,,Joe Donnelly,
Senate Special Committee on Aging,,Elizabeth Warren,
Senate Special Committee on Aging,,Catherine Cortez Masto,
Senate Special Committee on Aging,,Doug Jones,
"Senate Committee on Agriculture, Nutrition, and Forestry",,Pat Roberts,Chairman
"Senate Committee on Agriculture, Nutrition, and Forestry",,Mitch McConnell,
